Area,n_measurements,waterbody_type,query,latitude,longitude
"Blackwater_Munster, Blackwater (Munster)",8798,River,Blackwater,51.85,-9.75
"Blacksod-Broadhaven, Blacksod-Broadhaven",1424,Lake,Blacksod-Broadhaven,,
"Laune-Maine-Dingle Bay, FLESK (KERRY)_060",777,River,FLESK,52.03333,-9.51667
"Liffey and Dublin Bay, LIFFEY_160",545,River,LIFFEY,53.34556,-6.21694
"Lower Shannon (D), SHANNON (LOWER)_060",466,River,SHANNON,52.58194,-9.68167
"Upper Shannon (A), SHANNON (Upper)_040",391,River,SHANNON,52.58194,-9.68167
"Tralee Bay-Feale, FEALE_060",386,River,FEALE,52.444,-9.62211
"Laune-Maine-Dingle Bay, LAUNE_010",385,River,LAUNE,52.13333,-9.78333
"Shannon Estuary South, MAIGUE_080",380,River,MAIGUE,52.65667,-8.79778
"Slaney _ Wexford Harbour, SLANEY_170",379,River,SLANEY,52.65662,-6.65117
"Shannon Estuary North, FERGUS_060",358,River,FERGUS,52.95528,-9.18167
"Upper Shannon (F), INNY_010",350,River,INNY,51.85722,-10.18167
"Slaney _ Wexford Harbour, SLANEY_120",338,River,SLANEY,52.65662,-6.65117
"Boyne, BOYNE_010",334,River,BOYNE,53.72236,-6.24629
"Newry, Fane, Glyde and Dee, FANE_040",331,River,FANE,53.95222,-6.46583
"Liffey and Dublin Bay, DODDER_050",330,River,DODDER,53.34356,-6.23037
"Nore, BALLYROAN_020",329,River,BALLYROAN,52.94556,-7.30417
"Upper Shannon (D), SUCK_120",321,River,SUCK,53.27222,-8.05306
"Cork Harbour, Moy Killala, DARGLE_030",320,River,DARGLE,53.27361,-6.26778
"Boyne, BOYNE_160",320,River,BOYNE,53.72236,-6.24629
"Nore, KING'S (KILKENNY)_050",318,River,KING'S,53.31528,-7.94722
"Boyne, Boyne_180",316,River,Boyne,53.72236,-6.24629
"Donagh-Moville, BREDAGH_010",315,River,BREDAGH,55.18333,-7.03333
"Liffey and Dublin Bay, LIFFEY_100",313,River,LIFFEY,53.34556,-6.21694
"Lower Shannon (A), TULLAMORE_040",309,River,TULLAMORE,53.27722,-7.5775
"Laune-Maine-Dingle Bay, MAINE_010",309,River,MAINE,52.15,-9.75
"Lough Neagh _ Lower Bann, BLACKWATER (MONAGHAN)_040",306,River,BLACKWATER,51.85,-9.75
"Lower Shannon (B), LITTLE BROSNA_020",306,River,LITTLE BROSNA,53.16556,-8.075
"Tralee Bay-Feale, TYSHE_010",304,River,TYSHE,,
"Lee, Cork Harbour and Youghal Bay, LEE (CORK)_090",298,River,LEE,54.53583,-8.05944
"Slaney _ Wexford Harbour, SLANEY_030",297,River,SLANEY,52.65662,-6.65117
"Lower Shannon (D), BILBOA_010",296,River,BILBOA,52.58222,-8.32972
"Liffey and Dublin Bay, Pollaphuca",295,Lake,Pollaphuca,53.13333,-6.51667
"Corrib, CORRIB_020",295,River,CORRIB,53.43333,-9.23333
"Cork Harbour, Moy Killala, LEE (CORK)_090",293,River,LEE,54.53583,-8.05944
"Sligo Bay _ Drowse, OWENMORE (SLIGO)_080",292,River,OWENMORE,54.19111,-8.48306
"Laune-Maine-Dingle Bay, DEENAGH_020",292,River,DEENAGH,52.05,-9.53333
"Sligo Bay _ Drowse, BONET_050",291,River,BONET,54.2525,-8.34028
"Tralee Bay-Feale, SMEARLAGH_040",291,River,SMEARLAGH,52.43917,-9.42889
"Shannon Estuary North, FERGUS_010",290,River,FERGUS,52.95528,-9.18167
"Slaney _ Wexford Harbour, DOUGLAS (BALLON)_010",289,River,DOUGLAS,52.88333,-6.95
"Ovoca-Vartry, VARTRY_040",288,River,VARTRY,53.00278,-6.05528
"Lough Swilly, BURNFOOT_020",286,River,BURNFOOT,55.05782,-7.40302
"Lower Shannon (D), DEAD_010",284,River,DEAD,52.58167,-8.3475
"Lower Shannon (D), NEWPORT (TIPPERARY)_030",283,River,NEWPORT,52.71111,-8.40972
